ID,TYPE_OF_STOP,CITATION_CONTROL_NUMBER,ACTIVITY RESULTS,OFFICER_GENDER,OFFICER_RACE,OFFICER_AGE_RANGE,ACTIVITY_DATE ,ACTIVITY_TIME,ACTIVITY_LOCATION,ACTIVITY_DIVISION,ACTIVITY_BEAT,DRIVER_GENDER,DRIVER_RACE,DRIVER_AGE_RANGE,NUMBER OF PASSENGERS,WAS_VEHCILE_SEARCHED,REASON_FOR_SEARCH
24398,TRAFFIC VIOLATION,0,WARNING,M,WHITE,31 - 40,1/27/2018,23:07:00,3030 TAYLOR BLVD,4TH DIVISION,BEAT 4,M,WHITE,20 - 25,1,NO,
26926,TRAFFIC VIOLATION,0,WARNING,M,WHITE,40 - 50,1/27/2018,19:01:00,9900 BUCKINGHAM DRIVE,3RD DIVISION,BEAT 3,M,WHITE,31 - 40,0,YES,PROBABLE CAUSE
28330,TRAFFIC VIOLATION,0,WARNING,M,WHITE,50 - 60,1/27/2018,0:45:00,DEERING RD AND SENNRIDGE,3RD DIVISION,BEAT 4,M,BLACK,41 - 50,1,NO,
36889,TRAFFIC VIOLATION,N870205,CITATION ISSUED,M,WHITE,21 - 30,1/27/2018,3:41:00,DR WJ HODGE/CHESTNUT,1ST DIVISION,BEAT 2,M,BLACK,26 - 30,0,NO,
36893,TRAFFIC VIOLATION,N870908,CITATION ISSUED,F,WHITE,31 - 40,1/27/2018,9:03:00,2815 FERN VALLEY RD,7TH DIVISION,BEAT 6,M,BLACK,26 - 30,0,YES,PROBABLE CAUSE
36941,TRAFFIC VIOLATION,NA,WARNING,M,WHITE,21 - 30,1/27/2018,22:33:00,E MARKET ST @ S FLOYD ST,1ST DIVISION,BEAT 4,F,WHITE,16 - 19,0,NO,
44154,TRAFFIC VIOLATION,CT53091     ,CITATION ISSUED,M,WHITE,40 - 50,1/27/2018,0:22:00,I 0065 N 130                                                ,4TH DIVISION,BEAT 4,M,WHITE,31 - 40,0,NO,
49817,TRAFFIC VIOLATION,CM56563     ,CITATION ISSUED,M,BLACK,31 - 40,1/27/2018,9:29:00,BROWNSBORO RD                                               ,5TH DIVISION,BEAT 5,M,WHITE,41 - 50,1,NO,
53540,TRAFFIC VIOLATION,CT53092     ,CITATION ISSUED,M,WHITE,40 - 50,1/27/2018,0:30:00,I 0065 N 131                                                ,4TH DIVISION,BEAT 4,M,WHITE,26 - 30,0,NO,
55605,TRAFFIC VIOLATION,CT73476     ,CITATION ISSUED,M,WHITE,40 - 50,1/27/2018,0:47:00,SHELBYVILLE RD 4000 BLK                                     , , ,M,HISPANIC,41 - 50,0,NO,
56528,TRAFFIC VIOLATION,CT73475     ,CITATION ISSUED,M,WHITE,40 - 50,1/27/2018,0:36:00,SHELBYVILLE RD/ST MATTHEWS AVE                              , , ,M,WHITE,41 - 50,0,NO,
